"Population Estimates: Jewish Adults by State, 2013",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
State,Total US Adults,,,Total Jewish Population,,,,,,,,
,,,,Pct of US Adults,,,Total US Jewish Adults,,,,Pct within  US Jewish Adults,
Rhode Island," 832,290 ", 0.3 ,,1.6,"(0.9,2.4)",," 13,500 "," 7,900 "," 20,200 ",,0.3,"(0.2,0.5)"
South Carolina," 3,689,650 ", 1.5 ,,0.6,"(0.4,0.9)",," 23,200 "," 15,700 "," 31,700 ",,0.5,"(0.4,0.7)"
South Dakota," 636,250 ", 0.3 ,,0.2,"(0.0,0.5)",," 1,300 ", 300 ," 3,500 ",,0.0,"(0.0,0.1)"
Tennessee," 5,007,870 ", 2.1 ,,0.3,"(0.2,0.5)",," 15,200 "," 9,300 "," 22,600 ",,0.4,"(0.2,0.5)"
Texas," 19,432,500 ", 8.1 ,,0.6,"(0.5,0.7)",," 113,700 "," 94,000 "," 136,200 ",,2.6,"(2.2,3.2)"
Utah," 2,009,190 ", 0.8 ,,0.5,"(0.3,0.8)",," 10,200 "," 5,600 "," 16,300 ",,0.2,"(0.1,0.4)"
Vermont," 500,510 ", 0.2 ,,1.6,"(0.9,2.5)",," 7,900 "," 4,500 "," 12,500 ",,0.2,"(0.1,0.3)"
Virginia," 6,387,890 ", 2.7 ,,1.0,"(0.8,1.2)",," 64,300 "," 51,400 "," 78,800 ",,1.5,"(1.2,1.8)"
Washington," 5,382,850 ", 2.2 ,,0.8,"(0.6,1.0)",," 41,100 "," 30,400 "," 53,000 ",,1.0,"(0.7,1.2)"
West Virginia," 1,471,950 ", 0.6 ,,0.4,"(0.2,0.7)",," 6,300 "," 3,000 "," 10,700 ",,0.1,"(0.1,0.2)"
Wisconsin," 4,432,620 ", 1.8 ,,0.5,"(0.3,0.7)",," 20,900 "," 14,300 "," 29,300 ",,0.5,"(0.3,0.7)"
Wyoming," 444,920 ", 0.2 ,,0.5,"(0.1,1.1)",," 2,100 ", 500 ," 5,100 ",,0.0,"(0.0,0.1)"
